genotype,summary
Rs1133950,[u'common in complete genomics']
Rs113249837,[u'common in clinvar']
Rs113905529,[u'common in clinvar']
Rs1136450,[u'common in clinvar']
Rs1129187,[]
Rs1130495,[]
Rs113994097,[u'common in clinvar']
Rs113994109,[u'common in clinvar']
Rs1135836,[u'common in complete genomics']
Rs1128503,[u'may require more methadone during heroin withdrawal']
Rs1131202,[u'common in clinvar']
Rs113993990,[u'common in clinvar']
Rs1131163,[u'common in clinvar']
Rs1136741,[u'common in clinvar']
Rs113993949,[u'common in clinvar']
Rs112660651,[u'common in clinvar']
Rs113994093,[u'common in clinvar']
Rs113994081,[u'common in clinvar']
Rs113186231,[u'common in clinvar']
Rs1135823,[]
Rs113994040,[u'common in clinvar']
Rs113993981,[u'common in clinvar']
Rs112738974,[u'common in clinvar']
Rs11214077,[u'classified as benign variant in ClinVar']
Rs11260867,[u'weakly associated with increased cataract risk']
Rs112406105,[u'common in clinvar']
Rs1130935,[u'common in clinvar']
Rs112202622,[u'common in clinvar']
Rs1121980,[u'2.76x risk for obesity']
Rs113681235,[u'common in clinvar']
Rs113994017,[u'common in clinvar']
Rs113994082,[u'common in clinvar']
Rs113761146,[u'common in clinvar']
Rs113994105,[u'common in clinvar']
Rs113994101,[u'common in clinvar']
Rs113994034,[u'common in clinvar']
Rs1138272,[u'common in complete genomics']
Rs1135840,[u'Homozygous for CYP2D6 variants (non-CYP2D6*1)']
Rs113994026,[u'common in clinvar']
Rs112188483,[u'common in clinvar']
Rs113993977,[u'common in clinvar']
Rs113993954,[u'common in clinvar']
Rs1135837,[]
Rs113994061,[u'common in clinvar']
Rs1131279,[u'common in complete genomics']
Rs1121980,[u'1.67x risk for obesity']
Rs11214613,[u'common in complete genomics']
Rs1136410,[u'0.80x reduced risk for glioblastoma']
Rs113994072,[u'common in clinvar']
Rs113994080,[u'common in clinvar']
Rs11245954,[u'common on affy axiom data']
Rs1135827,[u'common in complete genomics']
Rs1137100,[u'common in clinvar']
Rs113993948,[u'common in clinvar']
Rs1135824,[u'One copy of CYP2D6*3B non-functioning variant.']
Rs113993993,[u'common in clinvar']
Rs11265260,[u'common on affy axiom data']
Rs1130866,[u'normal']
Rs112195009,[u'common in clinvar']
Rs1126497,[u'1.4x increased risk for breast cancer']
Rs1136683,[u'common in clinvar']
Rs11218350,[u'0.83x risk for Alzheimers']
Rs1137296,[u'common in clinvar']
Rs113994117,[u'common in clinvar']
Rs113994088,[u'common in complete genomics']
Rs113422242,[u'common in clinvar']
Rs113993962,[u'Bloom syndrome; homozygote for most common mutation']
Rs113994092,[u'common in clinvar']
Rs11260867,[u'normal']
Rs113994050,[u'common in clinvar']
Rs1128334,[u'common on affy axiom data']
Rs1131446,[u'common in clinvar']
Rs11209026,"[u'Normal, but higher risk for certain autoimmune diseases.']"
Rs113993984,[u'common in clinvar']
Rs11216185,[u'common in complete genomics']
Rs113994016,[u'common in clinvar']
Rs113994064,[u'common in clinvar']
Rs113994094,[u'common in clinvar']
Rs1136743,[u'common in clinvar']
Rs1131341,[]
Rs1135828,[u'common in complete genomics']
Rs113560320,[u'common in clinvar']
Rs1127354,[u'common in clinvar']
Rs112645512,[u'common in clinvar']
Rs1135840,[u'Carrier of at least one CYP2D6 variants (non-CYP2D6*1)']
Rs113993982,[u'common in clinvar']
Rs1131112,[u'common in clinvar']
Rs1131665,[u'common in complete genomics']
Rs1136200,[u'common in complete genomics']
Rs113449357,[u'likely to be benign']
Rs113994095,[u'common in clinvar']
Rs112094427,[u'common in clinvar']
Rs113994091,[u'common in complete genomics']
Rs113994089,[u'common in complete genomics']
Rs113993962,[u'common in clinvar']
Rs1126809,[u'normal']
Rs113993963,[u'common in clinvar']
Rs11260867,[u'~2x increased risk for cataracts']
Rs1128501,[u'common in clinvar']
Rs11225148,[]
Rs1136691,[u'common in clinvar']
Rs113857788,[u'common in clinvar']
Rs113403872,[u'common in complete genomics']
Rs113994102,[u'common in clinvar']
Rs1135830,[]
Rs113812345,[u'Marfan syndrome mutation']
Rs112384084,[u'common in clinvar']
Rs113994010,[u'common in clinvar']
Rs11218350,[u'normal']
Rs113993968,[u'common in clinvar']
Rs112176450,"[u""Late-onset Parkinson's disease""]"
Rs1131104,[u'common in clinvar']
Rs1131118,[u'common in clinvar']
Rs113994111,[u'common in clinvar']
Rs1129844,"[u""Up to 10 year delay in onset of early-onset Alzheimer's (possibly)""]"
Rs113993970,[u'common in clinvar']
Rs113994018,[u'common in clinvar']
Rs11216126,[u'common in complete genomics']
Rs112179534,[u'common in clinvar']
Rs1136746,[u'common in clinvar']
Rs1136287,[u'normal']
Rs113994069,[u'common in clinvar']
Rs112954220,[u'common in clinvar']
Rs1135839,[]
Rs11243676,[u'common on affy axiom data']
Rs1136702,[u'common in clinvar']
Rs1131123,[u'common in clinvar']
Rs113993947,[u'common in clinvar']
Rs1131103,[u'common in clinvar']
Rs1131165,[u'common in clinvar']
Rs1136903,[u'common in clinvar']
Rs113809142,[u'somewhat higher risk for Alzheimers']
Rs113994120,[u'common in clinvar']
Rs113993958,[u'Cystic Fibrosis (D110H); milder form']
Rs1136410,[u'normal']
Rs113994057,[u'common in clinvar']
Rs1136410,[u'0.80x reduced risk for glioblastoma']
Rs1128503,[u'normal']
Rs113993988,[u'common in clinvar']
Rs1135826,[u'common in complete genomics']
Rs1131292,[u'common in clinvar']
Rs112445441,[u'common in clinvar']
Rs113994025,[u'common in clinvar']
Rs1131214,[u'common in clinvar']
Rs113993960,[u'normal']
Rs11241713,[]
Rs1133577,[u'common in clinvar']
Rs1131204,[u'common in clinvar']
Rs113812345,[u'Marfan syndrome mutation']
Rs1129703,[u'common in complete genomics']
Rs113994032,[u'common in clinvar']
Rs1131275,[u'common in clinvar']
Rs1126809,[u'slight increase in skin cancer risk']
Rs113994053,[u'common in clinvar']
Rs1135828,[u'common in complete genomics']
Rs113993953,[u'common in clinvar']
Rs113994020,[u'common in clinvar']
Rs113313967,[u'common in clinvar']
Rs113993960,[u'carrier of a cystic fibrosis allele']
Rs113993971,[u'common in clinvar']
Rs113369052,[u'common in clinvar']
Rs112366278,[u'common in clinvar']
Rs113993986,[u'common in clinvar']
Rs11209026,[u'0.26x lower risk for certain autoimmune diseases.']
Rs112805604,[u'common in clinvar']
Rs11362,[]
Rs1135833,[]
Rs113994098,[u'common in clinvar']
Rs11216831,[]
Rs113993955,[u'common in clinvar']
Rs1135824,[u'Two copies of CYP2D6*3B non-functioning variant']
Rs1136749,[u'common in clinvar']
Rs1128535,[u'normal']
Rs113994043,[u'common in clinvar']
Rs113994077,[u'common in clinvar']
Rs113993976,[u'common in clinvar']
Rs112176450,[u'common in complete genomics']
Rs113436208,[u'common in clinvar']
Rs113994076,[u'common in clinvar']
Rs11248060,[u'common on affy axiom data']
Rs113388242,"[u""Possible late-onset Parkinson's disease variant""]"
Rs1126821,[u'common in clinvar']
Rs11218350,[u'normal']
Rs113993979,[u'common in clinvar']
Rs1135822,[]
Rs113169049,[u'common in complete genomics']
Rs1137617,[u'common']
Rs1131170,[u'common in clinvar']
Rs11230874,[u'common in complete genomics']
Rs113994041,[u'common in clinvar']
Rs11231898,[u'common in complete genomics']
Rs113993958,[u'carrier for milder form of cystic fibrosis']
Rs113994024,[u'common in clinvar']
Rs113994054,[u'common in clinvar']
Rs113994114,[u'common in clinvar']
Rs113994097,"[u'Ataxias, including spinocerebellar ataxia']"
Rs113993946,[u'common in clinvar']
Rs11276,[u'common in clinvar']
Rs113994007,[u'common in clinvar']
Rs1126690,[u'common in clinvar']
Rs113994014,[u'common in clinvar']
Rs112795301,[u'common in clinvar']
Rs113993961,[u'carrier for Werner syndrome']
Rs113993959,[u'carrier for G542X cystic fibrosis mutation']
Rs1136690,[u'common in clinvar']
Rs112602953,[u'common in clinvar']
Rs113994083,[u'common in clinvar']
Rs113994100,[u'common in clinvar']
Rs1131233,[u'common in clinvar']
Rs11246226,[u'decreased risk of schizophrenia in limited study']
Rs112576957,[u'common in clinvar']
Rs113994052,[u'common in clinvar']
Rs113993972,[u'common in clinvar']
Rs1128535,"[u""reduced risk (0.77x) for Crohn's disease""]"
Rs113993964,[u'common in clinvar']
Rs113994086,[u'common in clinvar']
Rs113690956,[u'common in clinvar']
Rs113994048,[u'common in clinvar']
Rs113824204,[u'common in clinvar']
Rs113994067,[u'common in clinvar']
Rs11211503,[u'common in complete genomics']
Rs1135829,[]
Rs112321280,[u'common in clinvar']
Rs1131500,[u'common in clinvar']
Rs113605875,[u'common in complete genomics']
Rs113994075,[u'common in clinvar']
Rs1131235,[u'common in clinvar']
Rs113993994,[u'common in clinvar']
Rs1137617,[u'potential cardiac arrhythmia']
Rs113418909,[u'common in clinvar']
Rs113994044,[u'common in clinvar']
Rs113994110,[u'common in clinvar']
Rs1135825,[]
Rs113994074,[u'common in clinvar']
Rs1136659,[u'common in clinvar']
Rs113994036,[u'common in clinvar']
Rs113994058,[u'common in clinvar']
Rs11230683,[u'common in clinvar']
Rs11245936,[u'common on affy axiom data']
Rs113993958,[u'normal']
Rs11210278,[u'common in complete genomics']
Rs1136201,[u'common in clinvar']
Rs1135840,[u'normal']
Rs1126742,[u'higher hypertension risk']
Rs113994104,[u'common in clinvar']
Rs112518413,[u'common in clinvar']
Rs113993967,[u'common in clinvar']
Rs112989722,[u'common in complete genomics']
Rs113994085,[u'common in clinvar']
Rs1135728,[u'common in complete genomics']
Rs113994087,[u'common in complete genomics']
Rs11214077,[u'common in clinvar']
Rs113993973,[u'common in clinvar']
Rs1136754,[u'common in clinvar']
Rs1127354,[u'causitive. Ribavirin-induced anemia iRibavirin-induced anemia during anti-hepatitis C virus therapy']
Rs1137887,[u'common in clinvar']
Rs113993966,[u'common in clinvar']
Rs113993945,[u'common in clinvar']
Rs112456072,[u'common in clinvar']
Rs113994099,[u'common in clinvar']
Rs113954997,[u'common in complete genomics']
Rs113994033,[u'common in clinvar']
Rs1136917,[u'common in clinvar']
Rs112863520,[u'common in clinvar']
Rs113358486,[u'common in clinvar']
Rs113993961,[u'Werner syndrome; homozygote for transversion mutation']
Rs113298164,[u'common in clinvar']
Rs1135835,[u'common in complete genomics']
Rs113994051,[u'common in clinvar']
Rs1131212,[u'common in clinvar']
Rs113994107,[u'common in clinvar']
Rs1131213,[u'common in clinvar']
Rs11215936,[u'common in complete genomics']
Rs11209032,[u'1.3x higher risk for spondylitis']
Rs1137160,[u'common in clinvar']
Rs1131115,[u'common in clinvar']
Rs113994047,[u'common in clinvar']
Rs1131096,[u'common in clinvar']
Rs113993951,[u'common in clinvar']
Rs1133779,[u'common in clinvar']
Rs113169049,"[u""Possible late-onset Parkinson's disease variant""]"
Rs112611995,[u'common in clinvar']
Rs1135824,[u'normal']
Rs113993991,[u'common in clinvar']
Rs112371422,[u'common in clinvar']
Rs113086760,[u'common in clinvar']
Rs1126497,[u'1.4x increased risk for breast cancer']
Rs11212617,[u'normal response to Metformin']
Rs1125488,[u'common in complete genomics']
Rs113993978,[u'common in clinvar']
Rs113994078,[u'common in clinvar']
Rs113993974,[u'common in clinvar']
Rs113994079,[u'common in clinvar']
Rs113994060,[u'common in clinvar']
Rs1131695,[u'common in clinvar']
Rs1130335,[u'common in clinvar']
Rs11218342,[u'common in complete genomics']
Rs113994115,[u'common in clinvar']
Rs113993969,[u'common in clinvar']
Rs1124110,[u'common in complete genomics']
Rs1131015,[u'common in clinvar']
Rs1135829,[u'common on affy axiom data']
Rs1131161,[u'common in clinvar']
Rs113994106,[u'common in clinvar']
Rs1131014,[u'common in clinvar']
Rs113994046,[u'common in clinvar']
Rs1131532,[u'normal']
Rs11259365,[u'common in complete genomics']
Rs113388242,[u'common in complete genomics']
Rs1136692,[u'common in clinvar']
Rs1129187,[u'common in clinvar']
Rs112811136,[u'common in clinvar']
Rs113994029,[u'common in clinvar']
Rs113309941,[u'common in clinvar']
Rs1131279,[u'common in clinvar']
Rs1132200,[u'common on affy axiom data']
Rs113452150,[u'common in clinvar']
Rs112563513,[u'common in clinvar']
Rs1137631,[u'common in clinvar']
Rs1130866,[u'normal']
Rs113994037,[u'common in complete genomics']
Rs113993997,[u'common in clinvar']
Rs113485686,[u'common in clinvar']
Rs1136511,[u'common in clinvar']
Rs1131223,[u'common in clinvar']
Rs113993996,[u'common in clinvar']
Rs113994062,[u'common in clinvar']
Rs113993983,[u'common in clinvar']
Rs11214606,[u'common on affy axiom data']
Rs112176450,"[u""Late-onset Parkinson's disease""]"
Rs113993985,[u'common in clinvar']
Rs112292549,[u'common in clinvar']
Rs11226373,[u'common in complete genomics']
Rs112205661,[u'likely hypomyelination with brainstem and spinal cord involvement and leg spasticity; see discussion']
Rs11265263,[u'common on affy axiom data']
Rs1122530,[u'common in complete genomics']
Rs113488022,[u'normal']
Rs113363047,[u'common in clinvar']
Rs113993975,[u'common in clinvar']
Rs113994096,[u'common in clinvar']
Rs113994035,[u'common in clinvar']
Rs113798404,[u'common in complete genomics']
Rs1130838,[u'common in clinvar']
Rs1136287,[u'1.5x increased risk of wet ARMD in a Taiwanese Chinese population']
Rs1135838,[]
Rs113993952,[u'common in clinvar']
Rs1135825,[u'common in complete genomics']
Rs113994021,[u'common in clinvar']
Rs1131296,[u'common in clinvar']
Rs1137101,[u'common in clinvar']
Rs1131114,[u'common in clinvar']
Rs1136697,[u'common in clinvar']
Rs112445441,[u'common in complete genomics']
Rs1128503,[u'likely to require more methadone during heroin withdrawal']
Rs1131159,[u'common in clinvar']
Rs112289537,[u'common in clinvar']
Rs113993956,[u'common in clinvar']
Rs113871730,[u'common in clinvar']
Rs1135821,[u'common in complete genomics']
Rs113994118,[u'common in clinvar']
Rs113605263,[u'common in clinvar']
Rs113994045,[u'common in clinvar']
Rs11214077,[u'most likely a benign genotype according to ClinVar (although rare)']
Rs11391,[]
Rs1131122,[u'common in clinvar']
Rs1128870,[u'common in complete genomics']
Rs113809142,[u'common/normal']
Rs11225297,[]
Rs1126809,[u'slight increase in skin cancer risk']
Rs1136949,[u'common in clinvar']
Rs112525507,[u'common in clinvar']
Rs113994039,[u'common in clinvar']
Rs1126442,[u'common in clinvar']
Rs11209026,[u'0.26x lower risk for certain autoimmune diseases.']
Rs113993987,[u'common in clinvar']
Rs113994012,[u'common in clinvar']
Rs113994038,[u'common in clinvar']
Rs1137078,[u'common in clinvar']
Rs1136287,[u'3.9x increased risk of wet ARMD in a Taiwanese Chinese population']
